Year;Rank;Name;Citizenship;Country Code;Net Worth Billion;Age;Industry Aggregates;Selfmade;Generation of Inheritance;Type of Wealth;Industry;Relationship to Company;Gender;Source of Wealth;Sector;Company;Company type;Founding Date;Political Connection;GDP Currentus;Region;Notes;Notes 2;Deflator 1996;Real Net Worth;Characteristics
2015;1638;Niranjan Hiranandani;India;IND;1.1;64.0;Financial;;;;Real Estate;;;Real Estate;;;;;;;South Asia;;;138.802093506;0.792495250702;North,Real Billionaires
2015;;Norman Braman;United States;USA;2.0;;Non-Traded Sectors;;;;Retail, Restaurant;;;Art, Car Dealerships;;;;;;;North America;;;138.802093506;1.44090044498;North,Real Billionaires
2015;603;Oprah Winfrey;United States;USA;3.0;61.0;Non-Traded Sectors;;;;Media;;;Television;;;;;;;North America;;;138.802093506;2.16135072708;North,Real Billionaires
2015;;Otto Happel;Germany;DEU;2.6;;0.0;;;;Other;;;Engineering;;;;;;;Europe;;;138.802093506;1.87317061424;North,Real Billionaires
2015;309;Pansy Ho;Hong Kong;HKG;5.0;52.0;Financial;;;;Real Estate;;;Casinos;;;;;;;East Asia;;;138.802093506;3.60225105286;North,Real Billionaires
2014;869;Ron Baron;United States;USA;2.0;70.0;Financial;self-made;;self-made finance;Money Management;founder;male;money management;investment banking;Baron Capital Group;new;1982;;;North America;;;138.802093506;1.44090044498;North,Founder,Real Billionaires
2014;988;Ronald Wanek;United States;USA;1.8;72.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;Furniture;furniture;Ashley Furniture;aquired;1970;;;North America;;;138.802093506;1.29681038857;North,Founder,Real Billionaires
2001;387;Saleh Al Rajhi;Saudi Arabia;SAU;1.29999995232;89.0;Financial;self-made;;self-made finance;Money Management;founder;male;;banking;Al-Rajhi Bank;new;1957;;183012266667.0;Middle East/North Africa;;;109.114585876;1.19140803814;North,Founder,Real Billionaires
2014;731;Saleh Kamel;Saudi Arabia;SAU;2.4;72.0;Financial;self-made;;self-made finance;Diversified financial;founder;male;diversified;airport maintenance;Dallah al Baraka Group;new;1969;;;Middle East/North Africa;;;138.802093506;1.72908055782;North,Founder,Real Billionaires
2001;251;Sam Zell;;USA;1.89999997616;59.0;Financial;;;executive;Real Estate;;;;;;;;;10621824000000.0;North America;;;109.114585876;1.74128866196;North,Founder,Real Billionaires
2014;295;Savitri Jindal;India;IND;4.9;63.0;Resource Related;inherited;spouse or widow;inherited;Non-consumer industrial;relation;female;steel;steel;O.P. Jindal Group;new;1969;;;South Asia;widow;;;;North,Founder
2001;75;Serge Dassault;France;FRA;4.90000009537;76.0;0.0;inherited;inherited from father;inherited;Other;relation;male;;aviation;Dassault Group;new;1914;;1382218344520.0;Europe;inherited from father;;109.114585876;4.49069213867;North,Founder,Real Billionaires
2014;1465;Sergei Kislov;Russia;RUS;1.1;53.0;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;agriculture, refinery;agriculture;Yug Rusi;new;1992;;;Europe;;;138.802093506;0.792495250702;North,Founder,Real Billionaires
1996;53;Seydoux/Schlumberger families;France;FRA;4.0;0.0;New Sectors;inherited;;inherited;Technology-Medical;;;;oilfield services;Schlumberger Well Services;new;1926;;1614245416080.0;Europe;;;100.000007629;3.99999976158;North,Founder,Real Billionaires
1996;69;Shin Kyuk-Ho;;KOR;3.59999990463;0.0;Traded Sectors;;;executive;Consumer;;;;;;;;;603413139412.0;East Asia;;;100.000007629;3.59999966621;North,Founder,Real Billionaires
2014;931;Sid Bass;United States;USA;1.9;71.0;Resource Related;inherited;inherited from father;inherited;Energy;relation;male;oil, investments;oil;Sid Richardson Gasoline Co;new;1919;;;North America;inherited from uncle/father;;138.802093506;1.36885547638;North,Founder,Real Billionaires
1996;257;Simon family;Germany;DEU;1.5;0.0;Traded Sectors;;;executive;Consumer;;;;;;;;;2501572654020.0;Europe;;;100.000007629;1.49999988079;North,Founder,Real Billionaires
1996;285;Stefan Persson;Sweden;SWE;1.39999997616;48.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;fashion;H&M;new;1947;;288103936773.0;Europe;inherited from father;chairman;100.000007629;1.39999985695;North,Founder,Real Billionaires
1996;66;Steven Ballmer;United States;USA;3.70000004768;39.0;New Sectors;self-made;;executive;Technology-Computer;CEO;male;;technology;Microsoft;new;1975;;8100200000000.0;North America;;;100.000007629;3.69999980927;North,Founder,Real Billionaires
2001;13;Steven Ballmer;United States;USA;16.6000003815;44.0;New Sectors;self-made;;executive;Technology-Computer;CEO;male;;technology;Microsoft;new;1975;;10621824000000.0;North America;;;109.114585876;15.2133655548;North,Founder,Real Billionaires
2001;336;Steven Rales;United States;USA;1.5;48.0;New Sectors;self-made;;founder non-finance;Technology-Medical;founder;male;;venture capitalist;Danaher;new;1979;;10621824000000.0;North America;;;109.114585876;1.37470161915;North,Founder,Real Billionaires
1996;422;Steven Spielberg;United States;USA;1.0;49.0;Non-Traded Sectors;self-made;;founder non-finance;Media;founder;male;;movies;DreamWorks;new;1994;;8100200000000.0;North America;;;100.000007629;0.999999940395;North,Founder,Real Billionaires
2014;973;Sun Piaoyang;China;CHN;1.85;55.0;New Sectors;self-made;;executive;Technology-Medical;chairman;male;pharmaceuticals;pharmaceuticals;Jiangsu Hengrui Medicine;new;1970;;;East Asia;;;138.802093506;1.33283293247;North,Founder,Real Billionaires
2014;520;Syed Mokhtar AlBukhary;Malaysia;MYS;3.1;62.0;Financial;self-made;;privatized and resources;Diversified financial;owner;male;diversified;rice trading, mining, infrastructure;MMC Corp./DRBHicom;privatization;1911;1.0;;East Asia;awarded rice trading liscence during Malaysia's privitization of assets, through National Padi and Rice Board (LPN), likely also due Malaysia's pro-Bumiputra business ownership policies , seen as benefitting from connections to UMNO (ruling par;;;;North,Founder
1996;307;Tadahiro Yoshida;Japan;JPN;1.29999995232;49.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;zippers;YKK;new;1934;;4706187126020.0;East Asia;inherited from family;;100.000007629;1.29999983311;North,Founder,Real Billionaires
2001;209;Tadahiro Yoshida;Japan;JPN;2.20000004768;54.0;Traded Sectors;inherited;inherited from father;inherited;Consumer;relation;male;;zippers;YKK;new;1934;;4159859918090.0;East Asia;inherited from family;;109.114585876;2.01622915268;North,Founder,Real Billionaires
1996;16;Tan Yu;Philippines;PHL;7.0;0.0;Financial;self-made;;self-made finance;Real Estate;founder;male;;real estate;Asiaworld Internationale Group;new;;;82848194405.5;East Asia;;;100.000007629;6.99999952316;North,Founder,Real Billionaires
2001;251;Terence Matthews;;CAN;1.89999997616;;New Sectors;self-made;;founder non-finance;Technology-Computer;founder;male;;technology consulting;Mitel;new;1972;;732716942149.0;North America;;;109.114585876;1.74128866196;North,Founder,Real Billionaires
2014;227;Thomas Frist, Jr.;United States;USA;6.1;75.0;New Sectors;self-made;;founder non-finance;Technology-Medical;founder/relation;male;health care;hospitals;Hostpital Corporation of America;new;1968;;;North America;;;;;North,Founder
2014;988;Thomas Meyer;Switzerland;CHE;1.8;;Traded Sectors;self-made;;founder non-finance;Consumer;founder;male;Desigual;apparel retail;Desigual;new;1984;;;Europe;;;138.802093506;1.29681038857;North,Founder,Real Billionaires
2014;256;Thomas Schmidheiny;Switzerland;CHE;5.5;68.0;Non-Traded Sectors;inherited;Fourth generation;inherited;Constrution;relation;male;cement;cement;Holcim;new;1912;;;Europe;4th generation;;138.802093506;3.96247625351;North,Founder,Real Billionaires
2014;1046;Tony Tan Caktiong;Philippines;PHL;1.7;61.0;Non-Traded Sectors;self-made;;founder non-finance;Retail, Restaurant;founder;male;fast food;restaurant;Jollibee;new;1978;;;East Asia;;;;;North,Founder
2014;328;Trevor Rees-Jones;United States;USA;4.5;62.0;Resource Related;self-made;;privatized and resources;Energy;founder;male;oil & gas;oil;Chief Oil and Gas;new;1994;;;North America;;;138.802093506;3.24202609062;North,Founder,Real Billionaires
2001;452;Viktor Chernomyrdin;Russia;RUS;1.10000002384;;Resource Related;self-made;;privatized and resources;Energy;founder;male;;natural gas;Gazprom;state owned enterprise;1989;1.0;306602673980.0;Europe;;;109.114585876;1.00811457634;North,Founder,Real Billionaires
2014;1154;Vinod Khosla;United States;USA;1.5;59.0;Financial;self-made;;self-made finance;Venture Capital;founder;male;venture capital;software;Sun Microsystems;new;1982;;;North America;;;138.802093506;1.08067536354;North,Founder,Real Billionaires
2014;53;Vladimir Lisin;Russia;RUS;16.6;57.0;Resource Related;self-made;;privatized and resources;Non-consumer industrial;owner;male;steel, transport;steel;NLMK;aquired;1992;1.0;;Europe;became sole owner of Novolipetsk Steel in 2000 after a former boss was named Minister for Russian Metallurgy;;138.802093506;11.9594736099;North,Founder,Real Billionaires
2014;869;Wang Wenxue;China;CHN;2.0;46.0;Financial;self-made;;self-made finance;Real Estate;chairman;male;real estate;real estate;China Fortune Land Development;new;1998;;;East Asia;;;138.802093506;1.44090044498;North,Founder,Real Billionaires
2015;949;Mohamed Al Fayed;Egypt;EGY;2.0;86.0;0.0;;;;0.0;;;Retail, Investments;;;;;;;Middle East/North Africa;;;138.802093506;1.44090044498;North,Real Billionaires
2014;61;Mohammed Al Amoudi;Saudi Arabia;SAU;15.3000001907;67.0;Resource Related;;;;Energy;;;oil, diversified;;;;;;746248533333.0;Middle East/North Africa;;;138.802093506;11.0228881836;North,Real Billionaires
2015;;Monique Roosmale Nepveu;France;FRA;1.3;;Traded Sectors;;;;Consumer;;;Commodities;;;;;;;Europe;;;138.802093506;0.936585307121;North,Real Billionaires
2015;1415;Mori Arkin;Israel;ISR;1.3;62.0;New Sectors;;;;Technology-Medical;;;Pharmaceuticals;;;;;;;Middle East/North Africa;;;138.802093506;0.936585307121;North,Real Billionaires
2015;714;Mortimer Zuckerman;United States;USA;2.6;77.0;Financial;;;;Real Estate;;;Real Estate, Media;;;;;;;North America;;;138.802093506;1.87317061424;North,Real Billionaires
2015;1118;Murdaya Poo;Indonesia;IDN;1.7;74.0;Financial;;;;Diversified financial;;;Diversified;;;;;;;East Asia;;;138.802093506;1.22476541996;North,Real Billionaires
